Name,Ratings,Header,Date,Product_Details,Review,Helpful
Kavitha Bhashya,4,TV features are good in this budget but facing issues with Wifi connectivity,22 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,TV features and picture quality is good but frequently facing issues with Wifi connectivity which disconnects every other day.. have tried all the available options from YouTube but still the issue exist.. I think this must be a manufacturing defect..  This is a bit frustrating to reconnect everytime and sometimes we need switch off the tv to get the wifi reconnected.,
Amritesh Kumar Sinha,5,Best in all departments.,11 August 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"I got a great deal on this TV. Purchased for 27k, at this price for a 50 inch TV I can't complain.Coming to the pros and cons.Pros:1. Excellent picture quality.2. Streams HDR, 4k and dolby vision content with no issues.3. Motion smooth feature works great, one needs to calibrate it as per the content.4. All ports and connectivity features available.5. Sound is loud and clear with some catch, will explain in cons.6. Android 10 out of the box.7. Price is truly value for money.Cons:1. When you try the preset sound profiles, you don't get clear sound in few content and it's weird. For some videos sound will be amazing but for some videos and content it is not clear. Sometimes we don't hear the vocals clearly. But, when you use the custom sound profile and set it optimally you will be able to minimize the sound issue. For the long run one should buy a sound bar (just a suggestion, depends on personal preference).So far after using it for 2+ months I am happy and satisfied with the experience.It came out to be a good buy for me.As always Kudos to amazon for delivering the product before expected time. But the gap between the order date and delivery date was almost 2 weeks. That could have been better. At the end no complaints as I got a good product.Thanks!!Editing the review after 3 months usage:The sound issue is gone after a software update. Now the sound is loud, crisp and clear.But now the TV's price is also gone way higher than earlier. Consider this a good option as other brands are also offering value for money in this price range.Thanks!!",4 people found this helpful
Lakshay Bajaj,5,Value for money.,4 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Overall good product. Value for money.,
Urbana,4,A perfect product for budget buyers,27 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"A very good purchase considering the price point, a no comparison to premium brands.But definitely a good product with tons of features ,better sound and picture quality .A go to product if ur considering 4K tv within ur financial reach .",
mohammad habeebulla,2,"Processor is slow, audio quality is medium.",21 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Processor is slow, audio quality is medium.  Lagging and takes time to restart and options load very lately on screen. Sometimes remote gets strucks. Most of the time screen gets struck. Waste of money.",One person found this helpful
Amit Panwar,4,Worth to buy!!,14 May 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Average!!!!,
Mohammad Mumtaz Khan,5,Good,8 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Excellent,
Amazon Customer,5,Worth byuing,4 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,An excellent product for the money paid.,
Priyanshu Rajesh Tiwari,4,Automatic Handset Mode Activated And Tv Speaker Off.,18 April 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Product is Awesome But Sound and Ptach File Issue I Think Because Automatically Handset Mode Activated And Tv Speaker Is Off,
Nikhil Roshith,5,Best in this price range,29 July 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Best 4k TV in this price range with HDMI 2.1 Dolby atmos support,
Deepak,4,Good but not uptomark,8 May 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Power cable is small size,
syamraj sasi,5,Best Budget TV,7 May 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Excellent tv, Technician came and installed tv within 2 hrs after delivery. Excellent service by the team.Good picture quality, I am able to buffer Prime and YouTube with my mobile data even in my weak network area(airtel 4g with 1 or 2 bars) I had connected a speaker system to this tv. Now it's connected via Bluetooth. Waiting for the arrival of my 3.5 mm to aux cable .Bluetooth audio  quality is Excellent but the Volume level is bit low, it's enough for my home. Excellent buy",
"Hange,",5,Same time it’s showing only one light but display not showing,31 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Same time it’s showing only one light but display not showing,
kaushal,5,Mja aagya,7 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Mjaaaa aagyab,
Ashu,3,Overall good product,17 June 2022,Pattern name: 2K Android SeriesSize name: 43 inches,"I've been using this product for a month and a half. So far, everything is in working order. I did not come across any unusual evidence. I would recommend this product to anyone interested in saving money.",
Narendra Rathore,5,Nice product,7 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Rahul Singh,4,Budget TV go for it,28 April 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
karan deep singh,5,"Not buy on no emi option,i buy this on Bajaj no emi but they they 299 gst extra on per month",12 July 2022,Pattern name: 2K Android SeriesSize name: 43 inches,"Mi led is good but i buy this on no emi option via Bajaj card,but they charge extra 199 rupee gst on  every monthly emi payment। That fraud with customer ।this",
Amandeep Gaurav,4,Best TV under 25k,27 April 2022,Pattern name: 2K Android SeriesSize name: 43 inches,,
Shashank Shah,4,Value for money TV with decent picture quality,5 April 2022,Pattern name: 4K Android SeriesSize name: 55 inches,I like the Value for money and the sound. Usually in LED TVs the sound is not very clear. But this TV has very good sound.The picture quality is ok. Not great.,
Harsh Balu Patekar,5,Value for money,6 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Value for money,
Kirtesh Asari,5,Redmi smart tv X50,6 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Awesome product 🤩,
Roshan Gupta,5,Good,10 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good,
Amandeep Singh,4,Good TV in this price range specially in 50 inches,7 April 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Product is goodDelivery in on time with installation is very goodPicture quality is very goodSome issues in speakers, music vlume is high and dialogue volume is very low.Not satisfied from sound quality",
Paras,4,Best in price,9 May 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Krunal,4,Very good picture quality n features.,7 August 2021,Pattern name: 4K Android SeriesSize name: 65 inches,"The picture quality is really nice. Not as good as a Sony, but almost there.The features are good. Hdr 10+, dobly vision, Hdr etc r auto activated upon playing compatible content on all apps except youtube. Youtube i assume only supports Hdr n nothing more.Arc feature switches off my connected onkyo home theatre but surprisingly doesn't switch it on(though that feature is activated in the tv menu) along with the tv.The tv is recommended to be watched from 8 feets distance(for full hd n 4k) which I agree is the sweet spot. My 14 feets is a little too far.Amazon installation is a pain, the scheduled guy is yet to arrive even after 8 days. Once he did agree to come but did not have the company recommended wall stand. Instead he was carrying some other brand's slightly expensive. stand.Installation can be taken from mi (it's complimentary) and I recommend its better that way.",
avinash j.,5,Very good,6 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Great product,
Shaik Rajesh,5,Very good product at the best deal,24 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"I like the picture quality and sound, This is for my master bedroom to enjoy OTT movies with family",
murthy g v v s,4,Satisfactory purchase.,14 April 2022,Pattern name: 4K Android SeriesSize name: 50 inches,I'm happy with it. I suggest you can go for it if ur choice is for a economic and value for money purchase.,
manivannan sp,4,Good product 👍,10 May 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Best quality,
E. Krishna rao,5,Worth++ product under ₹15000 budget,13 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,The one and only best in under15000 budget. I think I buy a 32inch smartphone because of so many features in tv . Like Android 11..and also many...,
Preetam Shetty,3,Better Substitute to be identified,27 June 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Quality of product is okay okay butI don't recommend someone to buy. Especially MI services is very poor,
Nilesh Rasal,3,Mala inshoransh milala nahi,6 July 2022,Pattern name: 4K Android SeriesSize name: 50 inches,मला इंशोरंस मिळाला नाही,
Deepak,4,U can go with another varient,18 April 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"In my room .this is extremely big, and now I am anable to see everyday because of headache",
Bijinlal,5,"Good product , Installation support by VECARE is useless.",19 May 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Product quality is very good. Free Installation mentioned by Amazon by VECARE is not happened. Finally i contacted MI customer care and they have provided Installation for free of cost. VECARE is providing some date and technician wont come. Later rescheduled by VECARE and that date also didn't come. Then i have rescheduled another date. No use. They have provided one contact number of technician that already resigned eralier. That much pathetic service by VECARE.,
Jayesh P.,5,Super,27 July 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"Value for money, great picture quality & great sound quality in low budget.",
Kanagaraj,5,On time delivery/service and very good product.,25 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Product is really good and worth for money. Service from vendor and amazon is really good.,
Ashish Verma,4,lags on netflix at times,7 April 2022,Pattern name: 4K Android SeriesSize name: 65 inches,"it's all good, wound is lowkey okay. I bought marshall thocons -Found the vids lagging often on netflix but restarts fixes it idk maybe the processor is too low",One person found this helpful
Nik W,2,"Horrible screen quality, had to replace it twice and it's still bad",19 September 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"We had to replace the TV twice because the screen developed problems by itself. There'd be some kind of glitching at the top half of the screen, and there was light-bleed on the right side.",3 people found this helpful
Sushant S. Murchite ,4,Very fantastic tv thanks,8 May 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Piyush Anand,4,Great choice for 27k,21 February 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Pros:1. Great 4K display2. Dolby vision looks fabulous on supported content3. Patchwall is intuitive4. 30W speaker does it's jobCons:1. MEMC lags and feels jittery2. 2GB RAM not enough for Android. Sometimes content would freeze on long hour sessions.I got it for 27.5k Overall 4 star for the price,One person found this helpful
Kindle Customer,4,Super quality great product,6 April 2022,Pattern name: 4K Android SeriesSize name: 50 inches,good product. Works really well. Nice picture quality and sound.One less start due to sometimes it shows getting picture data even when TV channel is on. Then restart is required.,
Sutapa karmakar,5,This is Osama,2 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Itbis just  mind blowing,
G.Shreeram,4,XZMART TV,30 January 2022,Pattern name: 4K Android SeriesSize name: 55 inches,1)Installation done by mi after 48 hrs u need to cal amzn customer care they will guide u.2)truly China jzt assembled in india3)Gst 28% actual tv cost is 310004)Backlight setting needs to be 100 except while watchg tv (using hdmi)cable otherwise u'll see (WAVEZZ)5)GREATEST PART IS AUDIO u can hear every node in music6) (IPS) PANEL u can watch tv from anyAngle (colors wont wash away),One person found this helpful
Amazon Customer,5,Na,5 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Na,
Mehul,5,Super duper sound bast tv,4 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Foram Darji,5,Stunning and trustfull product💖,7 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,I like the way it is designed and features are latest and excellent quality...Really impressed with this TVI personally recommend this TV to everyone to buy...Thanks Amazon and Redmi team,
Yashu Kumar,4,Very good tv,17 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Very nice tv ,in budget*Picture quality is very nice but va screen viewing angles are quite low*Sound quality is impressive,but base is mid*Connectivity is good*It's quite lags at first but after loading contents works fine# overall best tv in this segment, I'm happy with it some cons are adjustable for me",One person found this helpful
Vishal,4,"Screen Flickering starts in 20days only, Every time needs Remote to set AV/TV, Worst UI",2 April 2022,Pattern name: 4K Android SeriesSize name: 50 inches,,
Manumani,5,So best,4 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Best product,
SUDESH KUMAR SHARMA,3,Thik h,7 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,ठीक है,
Vijay,4,A very good budget option,9 January 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Picture and sound, the most important aspects of a tv, are almost perfect in redmi uhd TVs.Only thing that could be and should be improved is the response speed of the software. Almost all budget Android smart TVs lack so much in this area. Which is a given with so low specs of 1GB RAM and whatnot.This would be the best purchase if only the system specs are improved a little thus delivering faster loading speeds and lesser screen freezes.",
rOmA,5,Very Nice,27 July 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Installed today so will check and add comments after few days…sounds are clear and loud,
Vinoth Kumar,4,It has its pros and cons,25 July 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"I have bought it for 28.5k so I think its worth..even though it has some issues.I will go over with only cons, so u can decide whether u need to buy it or not,- sound is the biggest draw back for this tv.. Yes it is so loud.. but it lacks optimization... While watching movies dialogues will be less audible but songs will be super loud .. it irritates- while playing 1080p videos via ott apps ..green glitch will be displayed randomly ...5-10 times while watching a movie- Hang issue.. I am using only ott apps so this made the tv go hang some times, atleast once a week- 4k videos won't play via Chromecast. Though utube 4k videos playing without any issues.Though it has cons like this it is a solid offering for the price .. best if u bought it around 28-32k",
Pankaj Sahu,2,Lines on screen (defective),9 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Worst experiencelines on screen about 15 cm from left to rightReturned on same dayPaid ₹500 for wall mount 🥺Iss TV ko leke bhut pachtaoge Redmi Chinese brand hai mere pass Redmi ka mobile hai bhut heat hota hai.Sabhi Chinese products bekar hote hai.Don't Purchase Chinese Products 🙂.Wall mount ke liye ₹500 dene pade aur product return karne pade.₹500 waste 🥺Isko return karne ke baad mai Sony ka tv liya bhut accha picture quality hai iske compare me.Out of 5⭐Sony 32 inch (HD)Picture Quality = 5/5Price(expensive) = ₹25,000Redmi 50 inch (UHD)Picture Quality=2/5Price (cheap) = ₹29,000Sony HD quality > Redmi UHD quality",
Sudhanshu ojha,5,excellent smart tv,29 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Excellent smart TV specially sound & picture quality,
Vikas acharya ,5,Premium features with compromisable quality,17 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,2 people found this helpful
Harjeet Kaur,5,Excellent choice in this price range.,24 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,While using it for 2 months there is no leg. It's too smooth.,
suman kumar,5,Good TV,3 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Good Tv,
Riya,4,Wonderful product,14 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,I think if you are looking for budget friendly HD TV then you can go for it👍,
satheesh,4,Good buy,31 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Got it two days back, Tv is slightly sluggish, may be because of the 1 GB ram, Picture quality and sound is impressive. What impressed me the most was the installation part . Mr.Antony from SMG agencies Coimbatore was such a professional person, his way of communicating and the work carried out by him was just awesome. Such a polite and friendly person.",
Rathoran ,4,Good but keep in mind below points,3 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Product is good but note that installation is not come with purchase of the product , you have to raise installation request from MI portal.Worst part is during installation I have extended the TV warranty by one more year now I am following up with them but not getting any response , they haven't provided the extended warranty copy till date.So if you extend it please ask them to send copy right away after doing the payment.",
Buyer 342,4,Voice command does not work most of the time,21 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Product quality is good. Delivered and installed very fast.Picture and sound is good.Overall rating 4 for good product for this priceI did not understand 2 home button.I have ho search almost everything what i have to watch. Smart recommendation feature is not super good and not expected too.,One person found this helpful
Swathi,5,Good,26 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Features is ok, picture quality very good, sound or good",
Amazon Customer,5,Good to buy this product,2 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Krish,4,"Excellent TV in this budget segment, but sometimes I noticed lag issues",20 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Good tv in this budget segment, but sometimes we noticed lag issues",
NARAYANREDDY. GOPIDI,5,NARAYANAREDDY,22 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
chaitali kulkarni,4,Installation service not good,22 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Dear Mi Company,Please change your TV installation policy, We bought TV online because we are working people, we don't have time on working days, but for TV installation your people not come on non-working daysHence to all working and online customers don't buy MI TV onlineVery pathetic service for just installationWe lost our next planning of this weekVery disappointing service by MI",
Raghuveer,4,Best in this price,12 April 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"All are positive, except picture quality. But as per the price I feel this is the best tv.",
Subhasish,5,Good tv in this price,26 June 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Writing after 5 days of purchase, tv is awesome. Good picture quality with HD channels but SD channels quality just ok. Sound quality also good and it has android 11. Good tv in this price. Go for it.",One person found this helpful
Singara vikram,5,THE BEST TV IN MY LIFE,15 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,One person found this helpful
Rajendra Rao Karri,5,Nice product good sound and picture quality,28 July 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Nice product good sound and picture quality ☺️,
Prashanth Vepuri,5,Value for money!,25 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,This is a definite value for money! Just love the product.,
Sams,3,Very good,5 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very good,
Sandeep.R,5,Happy with product,29 June 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Happy with productSmart featuresExcellent remoteConcern with smart tvRAM is too low you feel lagging sometimesExpect this every thing is perfectPremium Buyable item at this range,
Rakesh patel,2,अभी तक इंसुलेशन नहीं हुआ है,15 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,अभी तक प्रोडक्ट का डेमो नहीं हुआ है,
Sridhar,5,Good,1 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Good,
Sanket,3,"Sound Quality not that great, Budget TV",27 April 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"ProsValue for moneySmart TVGood Service with installationConsSound quality not at all great ( Pls dont compare with Sony, Samsung or LG you will be disappointed)Picture Quality good but not as great as  Sony, Samsung or LGSometimes few scenes go in fast forward mode for few sec, which is very annoying (tried with 4-5 channels)Guys Interested in Sound and Picture dont buy this, Good for Daily Soaps viewing",
Jagdish Nakrani,5,Value for money,25 June 2022,Pattern name: 2K Android SeriesSize name: 43 inches,"Sound output is really good for the price point . Bezelless display looks terrific . Navigation from OTT to TV is seamless and minimal effort required . Overall , good buy for entry level .",
abhishek S.,5,Very nice tv,29 July 2022,Pattern name: 4K Android SeriesSize name: 50 inches,It's great value of money,
Vivek Sharma,5,Money worth,1 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Good,
Mahi,5,Best buy in budget,25 June 2022,Pattern name: 4K Android SeriesSize name: 43 inches,It’s amazing…if you are looking for a smart easy handling Tv then this is for you…Functions are pretty simple…picture quality is good 👍🏻 just don’t  think much and buy it without any concerns,
rahul kumar,5,Nice option,1 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Nice product,
Jefin Mathew,5,It's worth for the money 13k,22 June 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Can't expect high end performance from this. It's usable that it. TV lags lot while opening apps. But can't complain as all the smart TVs on this price range are like this. I like the picture quality.,
Jay,3,It's okay for the price....don't expect much,19 February 2022,Pattern name: 2K Android SeriesSize name: 43 inches,"It's an android TV so u have the play Store to download apps however it's slow, so you need to be patient while the application loads. The picture quality is all right but most of the time the colors are more saturated especially if you are watching a high quality video, it is a high definition panel with average quality, it is good enough if you want to buy it for your parents or for someone who would be watching either regular TV or regular YouTube videos, however if you plan to watch high quality content then this shouldn't be your pick. Overall this is a good TV for the price for those who don't expect much and just need a TV with some smart features to go along with it. Certainly not an enthusiast grade product, just does the job.",2 people found this helpful
Raghav Sharma,3,Voice problem,2 June 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"The TV is ok when you use in starting months, but then the voice starts showing problem. The voice keeps on disappearing and you have to turn it off to get the voice back. Even the service person is not responding.",
vinay sahu,5,Great Value for Rs 11k,27 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Don't install too much apps and you will get smooth experience,
VeeKy,5,Better than all android Tv (4K) at the present time got @26k,1 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Gowtham,4,Crashing videos,27 March 2022,Pattern name: 4K Android SeriesSize name: 65 inches,Overall good.. but if we played some videos around 1GB sometimes it crashed and blurred. Might be fixed in software upgrade for the video player bugs and OS bugs.,
Ashish Walke,5,Low budget full dhamaka,30 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Value for money,
NInju,5,Awesome TV. Review again after one month.,12 July 2021,Pattern name: 4K Android SeriesSize name: 65 inches,"UPDATE: After approx 1 year of use... WHAT EVER IS WRITTEN BELOW STILL WORKS THE SAME WAY. AWESOME TV. AWESOME EVERYTHING.UPDATE: After one month of usage, I still find this product to be awesome.No lagsNo connectivity issuesI have attached Yamaha receiver, USB, PS4, PC and 5Ghz WIFI router. Everything works really well.Have seen 4k movies by casting through my phone. Absolutely flawless.Used pen drive for movies: no issues.This TV has been running for almost 6-8 hours daily. NO PROBLEMOJust opposite the TV I have huge 12/12 feet window covered with curtains. Light pass through it but the TV adjust the picture quality and brightness just like a phone, so it doesn't matter.Gaming on PS4 with HDR looks SUPERB.The TV connects to ALEXA.I have loaded so many apps like sony, plex, lionsgate, dreamy, voot, MX player, disney, zee5, asphalt 8 etc. etc. I have not seen any issues or lags.YES, white lines people are talking about are there when TV is seen without colours( simple grey or white background) but they exist on my LG IPS panel 4k 55 inch tv also, which I bought for 1.4 lacs. I guess all machines have some or the other issue. I am not bothered.Last but not the least I AM HAPPY.ORIGINAL: Delivery in 24 hours by Amazon. Technician visit within 48 hours. First impressions of the Redmi x65 TV was AWESOME. BEST part was my Yamaha av receiver attached via earc,  as it was just plug and play.no lags, no WiFi issues,no bleeding shleeding, no whatever people say...I LOVE IT.. Will update after using for one month.i will not comment about sound cause I have Yamaha..",3 people found this helpful
Sanjai Krishnaa,5,Unexpected TV,28 November 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"Very Awesome TV with more no of features at this price. Very high quality of pictures the reality comes to. I brought a 50 inch TV for my hall but it's quite large in size not properly fitted but the TV Awesome feeling of watching movie in night gives a theater feel. This is comes with the android 10 os which has update options also the patchwall is so good to search for content in all platforms which has a universal search the remote is compat with less no of buttons the visual quality has also diff set of modes like sports, movies, vivid, standard and game. The games also played very well some needs controller but most are played in remote. The vivid picture was really amazing it increase the contrast of the colors very well and the brightness of TV also so good. The speakers not good ni loudness but medium the sound quality is good if you want to fell the real theater effects buy the Dolby supported speakers separately were you cam feel the real Dolby atoms.Overall this product is very good and satisfying and importantly worth for money",
Kiran DG,5,"Affordable, best TV in all way",1 August 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Juhi,5,Amazing Product,28 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Its really a good product.,
Sanjib kumar singha,5,I like this tv,12 August 2022,Pattern name: 4K Android SeriesSize name: 55 inches,,
Madhu,5,"As per our price spent, expectations reached...good product..can efford any one",28 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good product on this price..,
Sanjeev Mehta,5,Very good. Liked it.,24 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Very Satisfied with the purchase. No issues as of now.,
ARVIND KUMAR SINGH,5,Nice smart tv,31 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Like,
Vivek,4,So far so good,22 April 2022,Pattern name: 2K Android SeriesSize name: 43 inches,It's not indian manufacturing.. They assembled it here... Product is good and up to the mark.,
Datta N.,5,Good,30 July 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Good,
VENKATA REDDY,4,Good,19 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,,
rakesh,5,It is beautiful,6 June 2022,Pattern name: 4K Android SeriesSize name: 55 inches,What a machine.There might be issues with this type of products which is completely understandable. But thanks to Amazon. Got a good product.But in terms of the product features and the installation process Was really smooth.One of the best purchase made.,
Harsh,5,VALUE FOR MONEY 💯,21 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Value for monet with no cons found after 3 months of usage,
Amazon Customer,5,Nic product,29 July 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Nice product,
Maankarate,3,Ok product from MI,25 June 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Sometimes TV turned of automatically,
Murali Mohan reddy,5,Excellent product,1 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Excellent quality,One person found this helpful
Prafull waghmare,4,Nice led tv,28 April 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Value for money,One person found this helpful
Rajnish gupata,5,Best,29 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Beat quality,
Mahesh,4,Decent product at decent price,17 February 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good product with good sound….picture quality is 6/10….no vibrant colours as a Sony or Samsung…but does the job….great price…..I got it for under 15k with offer….remote operation is a 5/10…it has a slight lag up to 3 secs to respond…audio out is great compared to other options.,
GURMAT DHILLON,5,Best TV in this price,22 May 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Got this tv for about 25.5k with offers. Satisfied with picture quality. 4k videos play pretty well. Brightness is good. All streaming apps work fine. You can see best colors when viewing from exactly front of TV. Colors fade slightly if you are watching from any other angle. Tv Audio is ok, but I don't use it. I am using soundbar with great results.",One person found this helpful
Manish Pangaonkar,5,Redmi 126 cm (50 inches),14 July 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Redmi 126 cm (50 inches) Smart tv After one year Picture Quality, Sound Quality very Good.",
Vishnuvardhannaidu,5,Best value for money,10 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Best sound quality especially how it handles 5.1 audio, in other TVs i observed high music low voice.Best picture quality",
uday taral,5,Awesome product,2 August 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Great product,
DHIRAJ KUMAR YADAW,5,Wow,28 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Value of money,
Rajeev Divakar,5,Excellent,30 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Excellent,
Mir Owais,4,Great quality picture with solid brightness and contrast.,21 December 2021,Pattern name: 4K Android SeriesSize name: 55 inches,Liked almost everything except for maybe a few buggy Android tv features. But nothing permanent. Usually a restart fixes almost anything. Tried multiple Dolby vision hrd10+ 4k content and plays them all with exceptional ease and expectation. Really impressed by the product. If i had to nitpick I'd say the remote is a little extra clicky. Maybe something less clicky would give an elegant feel. But I suppose some people might actually prefer the extra clicky buttons.,
Ajay Antony,5,Totally Worth it,1 July 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Been about 2 and half months since i bought this TV. It's really good with great picture quality. Made my firestick obsolete😅. Great buy, go for it...",
Konsam Dinachandra Singh,4,Value for price,25 March 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Little slow while booting. Otherwise it good model. I can use it as display for Mi Home security. I recommend to all Mi LoversValue for money,
Shanoo P.,2,Apps not working properly,14 October 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Apps not working properly,One person found this helpful
Amal,4,Good option at this price range..,4 April 2021,Pattern name: 4K Android SeriesSize name: 50 inches,"Good purchase. Delivered as expected and installation done in the next day itself by mi service person .. Worthy product for the money we pay.Pros...Good product at this price range.Good build quality.Reasonable price.4K and HD is really good.Picture in Vivid mode looks nice.Wifi and Bluetooth works fine.No gliches or hanging found so far.Patchwall and mi home looks nice.Remote looks premium. Contain very less keys.easy to handle.Cons.*Build quality is average-(at this price range it is OK. cant compare with a premium product.)*Vivid mode exaggerate the saturation and brightness. Not suitable for all videos..We have to adjust each time the picture to accordingly to get a better viewing experince.*Display is good.. but Not at the level of a premium tv.*TV stands are not so sturdy structure. Its shaking and swinging.*Remote have very less keys. It may confuses. No special button for Youtube and TV. We have to manually select TV channels from Mi home. It may confuse and difficult for old people.Conclusion: Overall satified with the purchase. Good option at this price segment. Bigger screen, good build quality.Good choice. No doubts.",32 people found this helpful
Y S S CHAITANYA,4,Value for money,31 January 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Package is goodDelivery in timesmall but not considered the product have no wall-mount bolt - 1 out of 4when the tv plug in - tv doesnot start.now i packed and returned...after few hours plugin tv. amazing works normally..picture - goodvoice - goodconnectivity - good,
Rajashekhar,5,It's good one,29 July 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Na,
Rajendra,4,It is a Chinese product made in India.,28 April 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Value for money.,
VipulKan,4,Realme TV best quality product.,28 April 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Good quality product.,
